MovieID,Genres
0,Animation
1,Adventure
2,Comedy
3,Comedy
4,Comedy
5,Action
6,Comedy
7,Adventure
8,Action
9,Action
10,Comedy
11,Comedy
12,Animation
13,Drama
14,Action
15,Drama
16,Drama
17,Thriller
18,Comedy
19,Action
20,Action
21,Crime
22,Thriller
23,Drama
24,Drama
25,Drama
26,Drama
27,Romance
28,Adventure
29,Drama
30,Drama
31,Drama
32,Adventure
33,Children's
34,Drama
35,Drama
36,Documentary
37,Comedy
38,Comedy
39,Drama
40,Drama
41,Action
42,Drama
43,Action
44,Comedy
45,Drama
46,Crime
47,Animation
48,Drama
49,Crime
50,Action
51,Comedy
52,Drama
53,Children's
54,Drama
55,Adventure
56,Drama
57,Drama
58,Drama
59,Adventure
60,Drama
61,Drama
62,Comedy
63,Comedy
64,Comedy
65,Sci-Fi
66,Drama
67,Comedy
68,Comedy
69,Action
70,Action
71,Comedy
72,Drama
73,Drama
74,Comedy
75,Sci-Fi
76,Documentary
77,Drama
78,Drama
79,Drama
80,Crime
81,Drama
82,Drama
83,Comedy
84,Drama
85,Adventure
86,Children's
87,Comedy
88,Action
89,Drama
90,Drama
91,Comedy
92,Drama
93,Action
94,Comedy
95,Drama
96,Action
97,Documentary
98,Drama
99,Comedy
100,Comedy
101,Thriller
102,Comedy
103,Drama
104,Comedy
105,Adventure
106,Documentary
107,Comedy
108,Action
109,Drama
110,Action
111,Drama
112,Drama
113,Comedy
114,Documentary
115,Crime
116,Comedy
117,Comedy
118,Drama
119,Drama
120,Comedy
121,Drama
122,Drama
123,Comedy
124,Adventure
125,Drama
126,Documentary
127,Comedy
128,Drama
129,Drama
130,Thriller
131,Comedy
132,Documentary
133,Comedy
134,Documentary
135,Documentary
136,Drama
137,Action
138,Drama
139,Comedy
140,Drama
141,Drama
142,Comedy
143,Action
144,Adventure
145,Drama
146,Drama
147,Crime
148,Drama
149,Drama
150,Horror
151,Action
152,Drama
153,Drama
154,Comedy
155,Comedy
156,Adventure
157,Drama
158,Action
159,Drama
160,Documentary
161,Action
162,Crime
163,Action
164,Comedy
165,Drama
166,Action
167,Adventure
168,Action
169,Comedy
170,Action
171,Action
172,Comedy
173,Drama
174,Comedy
175,Horror
176,Comedy
177,Drama
178,Comedy
179,Action
180,Drama
181,Thriller
182,Drama
183,Sci-Fi
184,Comedy
185,Comedy
186,Horror
187,Comedy
188,Thriller
189,Drama
190,Documentary
191,Drama
192,Drama
193,Comedy
194,Horror
195,Drama
196,Action
197,Drama
198,Thriller
199,Drama
200,Drama
201,Comedy
202,Action
203,Comedy
204,Documentary
205,Drama
206,Action
207,Drama
208,Western
209,Drama
210,Comedy
211,Drama
212,Drama
213,Drama
214,Comedy
215,Drama
216,Comedy
217,Drama
218,Horror
219,Drama
220,Comedy
221,Comedy
222,Drama
223,Thriller
224,Action
225,Comedy
226,Drama
227,Drama
228,Comedy
229,Comedy
230,Drama
231,Comedy
232,Comedy
233,Comedy
234,Comedy
235,Adventure
236,Animation
237,Thriller
238,Children's
239,Drama
240,Comedy
241,Animation
242,Crime
243,Documentary
244,Drama
245,Comedy
246,Drama
247,Children's
248,Action
249,Comedy
250,Drama
251,Drama
252,Comedy
253,Comedy
254,Mystery
255,Adventure
256,Crime
257,Action
258,Drama
259,Children's
260,Drama
261,Drama
262,Drama
263,Drama
264,Comedy
265,Drama
266,Drama
267,Drama
268,Drama
269,Drama
270,Drama
271,Comedy
272,Comedy
273,Comedy
274,Drama
275,Comedy
276,Drama
277,Drama
278,Drama
279,Drama
280,Crime
281,Action
282,Drama
283,Action
284,Comedy
285,Action
286,Comedy
287,Crime
288,Thriller
289,Action
290,Crime
291,Comedy
292,Comedy
293,Crime
294,Drama
295,Comedy
296,Drama
297,Drama
298,Drama
299,Drama
300,Action
301,Comedy
302,Comedy
303,Drama
304,Drama
305,Drama
306,Drama
307,Comedy
308,Horror
309,Comedy
310,Animation
311,Drama
312,Action
313,Action
314,Children's
315,Drama
316,Thriller
317,Film-Noir
318,Drama
319,Comedy
320,Comedy
321,Comedy
322,Drama
323,Action
324,Horror
325,Action
326,Comedy
327,Drama
328,Horror
329,Comedy
330,Drama
331,Mystery
332,Drama
333,Drama
334,Sci-Fi
335,Comedy
336,Adventure
337,Drama
338,Comedy
339,Children's
340,Comedy
341,Comedy
342,Drama
343,Drama
344,Comedy
345,Action
346,Drama
347,Comedy
348,Comedy
349,Action
350,Drama
351,Children's
352,Comedy
353,Comedy
354,Drama
355,Comedy
356,Action
357,Drama
358,Adventure
359,Documentary
360,Animation
361,Drama
362,Horror
363,Comedy
364,Action
365,Drama
366,Comedy
367,Comedy
368,Comedy
369,Thriller
370,Children's
371,Drama
372,Action
373,Action
374,Comedy
375,Action
376,Action
377,Drama
378,Drama
379,Western
380,Action
381,Drama
382,Drama
383,Action
384,Drama
385,Drama
386,Action
387,Crime
388,Adventure
389,Action
390,Action
391,Drama
392,Drama
393,Horror
394,Documentary
395,Drama
396,Drama
397,Action
398,Comedy
399,Comedy
400,Documentary
401,Action
402,Drama
403,Horror
404,Drama
405,Drama
406,Comedy
407,Comedy
408,Drama
409,Comedy
410,Comedy
411,Comedy
412,Western
413,Comedy
414,Drama
415,Comedy
416,Action
417,Adventure
418,Thriller
419,Action
420,Drama
421,Drama
422,Horror
423,Mystery
424,Drama
425,Comedy
426,Drama
427,Crime
428,Comedy
429,Comedy
430,Action
431,Comedy
432,Drama
433,Comedy
434,Action
435,Drama
436,Comedy
437,Comedy
438,Action
439,Documentary
440,Comedy
441,Comedy
442,Drama
443,Comedy
444,Drama
445,Comedy
446,Comedy
447,Drama
448,Drama
449,Comedy
450,Drama
451,Adventure
452,Drama
453,Action
454,Drama
455,Action
456,Comedy
457,Drama
458,Action
459,Crime
460,Action
461,Action
462,Action
463,Comedy
464,Comedy
465,Drama
466,Comedy
467,Comedy
468,Comedy
469,Comedy
470,Action
471,Drama
472,Comedy
473,Drama
474,Comedy
475,Action
476,Action
477,Drama
478,Thriller
479,Drama
480,Adventure
481,Action
482,Comedy
483,Comedy
484,Drama
485,Comedy
486,Thriller
487,Drama
488,Comedy
489,Action
490,Action
491,Drama
492,Comedy
493,Comedy
494,Drama
495,Comedy
496,Comedy
497,Drama
498,Action
499,Drama
500,Action
501,Comedy
502,Drama
503,Action
504,Drama
505,Drama
506,Drama
507,Action
508,Horror
509,Comedy
510,Comedy
511,Drama
512,Comedy
513,Action
514,Comedy
515,Sci-Fi
516,Comedy
517,Crime
518,Action
519,Drama
520,Drama
521,Drama
522,Drama
523,Drama
524,Drama
525,Drama
526,Drama
527,Children's
528,Comedy
529,Action
530,Drama
531,Drama
532,Drama
533,Comedy
534,Drama
535,Comedy
536,Thriller
537,Film-Noir
538,Comedy
539,Comedy
540,Action
541,Drama
542,Action
543,Action
544,Action
545,Documentary
546,Comedy
547,Children's
548,Action
549,Western
550,Thriller
551,Action
552,Documentary
553,Drama
554,Action
555,Comedy
556,Drama
557,Thriller
558,Comedy
559,Drama
560,Comedy
561,Horror
562,Comedy
563,Drama
564,Comedy
565,Children's
566,Comedy
567,Drama
568,Drama
569,Drama
570,Comedy
571,Children's
572,Comedy
573,Adventure
574,Drama
575,Thriller
576,Drama
577,Documentary
578,Comedy
579,Comedy
580,Drama
581,Comedy
582,Children's
583,Comedy
584,Animation
585,Action
586,Adventure
587,Action
588,Action
589,Drama
590,Animation
591,Animation
592,Animation
593,Comedy
594,Comedy
595,Western
596,Thriller
597,Drama
598,Documentary
599,Comedy
600,Documentary
601,Drama
602,Horror
603,Drama
604,Crime
605,Adventure
606,Action
607,Action
608,Comedy
609,Drama
610,Drama
611,Drama
612,Animation
613,Drama
614,Comedy
615,Comedy
616,Drama
617,Drama
618,Romance
619,Action
620,Drama
621,Comedy
622,Drama
623,Drama
624,Drama
625,Drama
626,Animation
627,War
628,Comedy
629,Comedy
630,Comedy
631,Drama
632,Comedy
633,Romance
634,Comedy
635,Drama
636,Comedy
637,Drama
638,Comedy
639,Comedy
640,Drama
641,Drama
642,Action
643,Comedy
644,Drama
645,Comedy
646,Mystery
647,Action
648,Drama
649,Comedy
650,Comedy
651,Comedy
652,Drama
653,Crime
654,Drama
655,Animation
656,Thriller
657,Comedy
658,Comedy
659,War
660,Drama
661,Action
662,Drama
663,Drama
664,Drama
665,Comedy
666,Drama
667,Adventure
668,Adventure
669,Action
670,Drama
671,Drama
672,Drama
673,Sci-Fi
674,Crime
675,Documentary
676,Documentary
677,Drama
678,Drama
679,Drama
680,Action
681,Romance
682,Comedy
683,Action
684,Drama
685,Action
686,Mystery
687,Thriller
688,Drama
689,Drama
690,Drama
691,Comedy
692,Drama
693,Drama
694,Drama
695,Action
696,Comedy
697,Drama
698,Crime
699,Comedy
700,Animation
701,Comedy
702,Adventure
703,Drama
704,Drama
705,Western
706,Drama
707,Crime
708,Comedy
709,Comedy
710,Comedy
711,Animation
712,Drama
713,Documentary
714,Drama
715,Drama
716,Comedy
717,Drama
718,Documentary
719,Comedy
720,Drama
721,Drama
722,Mystery
723,Crime
724,Action
725,Comedy
726,Comedy
727,Action
728,Action
729,Drama
730,Comedy
731,Animation
732,Horror
733,Comedy
734,Drama
735,Animation
736,Film-Noir
737,Comedy
738,Action
739,Drama
740,Sci-Fi
741,Comedy
742,Comedy
743,Comedy
744,Adventure
745,Children's
746,Documentary
747,Drama
748,Drama
749,Documentary
750,War
751,Adventure
752,Comedy
753,Drama
754,Drama
755,Comedy
756,Drama
757,Drama
758,Drama
759,Documentary
760,Drama
761,Comedy
762,Comedy
763,Drama
764,Drama
765,Horror
766,Comedy
767,War
768,Drama
769,Drama
770,Action
771,Drama
772,Thriller
773,Animation
774,Comedy
775,Comedy
776,Action
777,Documentary
778,Comedy
779,Drama
780,Drama
781,Documentary
782,Fantasy
783,Drama
784,Comedy
785,Drama
786,Drama
787,Comedy
788,Action
789,Comedy
790,Drama
791,Children's
792,Drama
793,Romance
794,Comedy
795,Drama
796,Drama
797,Comedy
798,Adventure
799,Action
800,Children's
801,Comedy
802,Drama
803,Comedy
804,Drama
805,Action
806,Drama
807,Comedy
808,Comedy
809,Drama
810,Romance
811,Drama
812,Drama
813,Drama
814,Comedy
815,Drama
816,Drama
817,Adventure
818,Comedy
819,Comedy
820,Drama
821,Drama
822,Comedy
823,Comedy
824,Drama
825,Action
826,Children's
827,Comedy
828,Action
829,Comedy
830,Horror
831,Horror
832,Drama
833,Drama
834,Drama
835,Drama
836,Comedy
837,Drama
838,Action
839,Crime
840,Drama
841,Comedy
842,Drama
843,Drama
844,Drama
845,Comedy
846,Drama
847,Action
848,Documentary
849,Comedy
850,Action
851,Drama
852,Comedy
853,Comedy
854,Drama
855,Crime
856,Comedy
857,Comedy
858,Crime
859,Comedy
860,Comedy
861,Drama
862,Drama
863,Crime
864,Drama
865,Action
866,Drama
867,Drama
868,Horror
869,Sci-Fi
870,Children's
871,Drama
872,Drama
873,Children's
874,Action
875,Drama
876,Animation
877,Romance
878,Thriller
879,Horror
880,Comedy
881,Drama
882,Romance
883,Drama
884,Drama
885,Adventure
886,Comedy
887,Musical
888,Musical
889,Comedy
890,Drama
891,Mystery
892,Mystery
893,Comedy
894,Mystery
895,Comedy
896,Drama
897,Comedy
898,Comedy
899,Comedy
900,Drama
901,Film-Noir
902,Musical
903,Comedy
904,Comedy
905,Children's
906,Musical
907,Adventure
908,Drama
909,Comedy
910,Film-Noir
911,Drama
912,Drama
913,Adventure
914,Drama
915,Comedy
916,Romance
917,Thriller
918,Film-Noir
919,Mystery
920,Romance
921,Comedy
922,Comedy
923,Comedy
924,Comedy
925,Comedy
926,Musical
927,Comedy
928,Action
929,Adventure
930,Crime
931,Drama
932,Drama
933,Comedy
934,Comedy
935,Comedy
936,Drama
937,Drama
938,Mystery
939,Comedy
940,Adventure
941,Drama
942,Drama
943,Comedy
944,Drama
945,Drama
946,Comedy
947,Drama
948,Crime
949,Drama
950,Crime
951,Musical
952,Western
953,Thriller
954,Drama
955,Western
956,Horror
957,Action
958,Comedy
959,Drama
960,Drama
961,Drama
962,Drama
963,Comedy
964,Romance
965,Mystery
966,Drama
967,Drama
968,Action
969,Drama
970,Drama
971,Romance
972,Comedy
973,Documentary
974,Adventure
975,Drama
976,Comedy
977,Drama
978,Action
979,Drama
980,Thriller
981,Drama
982,Drama
983,Action
984,Drama
985,Action
986,Crime
987,Crime
988,Comedy
989,Comedy
990,Drama
991,Action
992,Children's
993,Drama
994,Children's
995,Western
996,Adventure
997,Children's
998,Adventure
999,Children's
1000,Children's
1001,Children's
1002,Adventure
1003,Children's
1004,Adventure
1005,Children's
1006,Adventure
1007,Comedy
1008,Children's
1009,Animation
1010,Animation
1011,Animation
1012,Animation
1013,Children's
1014,Drama
1015,Children's
1016,Animation
1017,Adventure
1018,Adventure
1019,Animation
1020,Animation
1021,Crime
1022,Musical
1023,Action
1024,Action
1025,Drama
1026,Documentary
1027,Drama
1028,Drama
1029,Comedy
1030,Drama
1031,Drama
1032,Comedy
1033,Drama
1034,Action
1035,Action
1036,Documentary
1037,Drama
1038,Drama
1039,Crime
1040,Drama
1041,Thriller
1042,Drama
1043,Comedy
1044,Drama
1045,Drama
1046,Comedy
1047,Crime
1048,Drama
1049,Drama
1050,Animation
1051,Mystery
1052,Comedy
1053,Comedy
1054,Crime
1055,Film-Noir
1056,Adventure
1057,Romance
1058,Adventure
1059,Comedy
1060,Thriller
1061,Comedy
1062,Comedy
1063,Comedy
1064,Comedy
1065,Comedy
1066,Drama
1067,Comedy
1068,Crime
1069,Adventure
1070,Mystery
1071,Musical
1072,Musical
1073,Crime
1074,Drama
1075,Comedy
