User_ID,aux
0,"F,1,10"
1,"M,56,16"
2,"M,25,15"
3,"M,45,7"
4,"M,25,20"
5,"F,50,9"
6,"M,35,1"
7,"M,25,12"
8,"M,25,17"
9,"F,35,1"
10,"F,25,1"
11,"M,25,12"
12,"M,45,1"
13,"M,35,0"
14,"M,25,7"
15,"F,35,0"
16,"M,50,1"
17,"F,18,3"
18,"M,1,10"
19,"M,25,14"
20,"M,18,16"
21,"M,18,15"
22,"M,35,0"
23,"F,25,7"
24,"M,18,4"
25,"M,25,7"
26,"M,25,11"
27,"F,25,1"
28,"M,35,7"
29,"F,35,7"
30,"M,56,7"
31,"F,25,0"
32,"M,45,3"
33,"F,18,0"
34,"M,45,1"
35,"M,25,3"
36,"F,25,9"
37,"F,18,4"
38,"M,18,4"
39,"M,45,0"
40,"F,18,4"
41,"M,25,8"
42,"M,25,12"
43,"M,45,17"
44,"F,45,16"
45,"M,18,19"
46,"M,18,4"
47,"M,25,4"
48,"M,18,12"
49,"F,25,2"
50,"F,1,10"
51,"M,18,4"
52,"M,25,0"
53,"M,50,1"
54,"F,35,12"
55,"M,35,20"
56,"M,18,19"
57,"M,25,2"
58,"F,50,1"
59,"M,50,1"
60,"M,25,17"
61,"F,35,3"
62,"M,18,4"
63,"M,18,1"
64,"M,35,12"
65,"M,25,18"
66,"F,50,5"
67,"M,18,4"
68,"F,25,1"
69,"M,18,4"
70,"M,25,14"
71,"F,45,0"
72,"M,18,4"
73,"M,35,14"
74,"F,1,10"
75,"M,35,7"
76,"M,18,4"
77,"F,45,1"
78,"F,45,0"
79,"M,56,1"
80,"F,25,0"
81,"M,25,17"
82,"F,25,2"
83,"M,18,4"
84,"M,18,4"
85,"F,1,10"
86,"M,25,14"
87,"F,45,1"
88,"F,56,9"
89,"M,56,13"
90,"M,35,7"
91,"F,18,4"
92,"M,25,17"
93,"M,25,17"
94,"M,45,0"
95,"F,25,16"
96,"F,35,3"
97,"F,35,7"
98,"F,1,10"
99,"M,35,17"
100,"F,18,3"
101,"M,35,19"
102,"M,45,7"
103,"M,25,12"
104,"M,45,12"
105,"F,35,11"
106,"M,45,18"
107,"M,25,12"
108,"M,45,15"
109,"M,25,2"
110,"M,35,15"
111,"M,25,16"
112,"M,18,12"
113,"F,25,2"
114,"M,25,17"
115,"M,25,17"
116,"M,25,17"
117,"M,35,17"
118,"F,1,10"
119,"M,25,11"
120,"M,35,7"
121,"F,18,4"
122,"M,35,9"
123,"M,56,7"
124,"M,45,14"
125,"M,18,9"
126,"F,45,3"
127,"M,56,6"
128,"M,25,11"
129,"M,35,17"
130,"M,18,4"
131,"M,25,17"
132,"F,25,0"
133,"M,25,0"
134,"M,18,4"
135,"M,18,2"
136,"F,45,6"
137,"M,18,20"
138,"F,25,20"
139,"F,35,1"
140,"M,35,13"
141,"M,25,7"
142,"M,18,3"
143,"M,25,17"
144,"M,18,4"
145,"F,35,20"
146,"M,18,4"
147,"M,50,17"
148,"M,25,1"
149,"M,35,7"
150,"F,25,20"
151,"M,18,4"
152,"M,1,10"
153,"M,50,20"
154,"M,35,12"
155,"F,45,7"
156,"M,35,16"
157,"M,56,7"
158,"F,45,0"
159,"M,35,7"
160,"M,45,16"
161,"F,18,4"
162,"M,18,4"
163,"F,56,13"
164,"M,18,16"
165,"M,18,4"
166,"F,25,11"
167,"F,50,0"
168,"M,25,7"
169,"M,25,11"
170,"F,50,17"
171,"M,25,3"
172,"M,25,0"
173,"M,25,16"
174,"F,25,2"
175,"F,18,3"
176,"M,50,1"
177,"M,56,17"
178,"M,25,0"
179,"M,45,12"
180,"M,18,17"
181,"M,18,4"
182,"F,45,1"
183,"F,25,0"
184,"M,45,0"
185,"M,18,5"
186,"F,45,1"
187,"M,56,16"
188,"M,18,0"
189,"M,25,17"
190,"M,18,4"
191,"M,18,1"
192,"F,45,15"
193,"F,1,10"
194,"M,25,12"
195,"F,35,9"
196,"M,18,14"
197,"M,25,12"
198,"M,18,4"
199,"F,18,4"
200,"F,35,2"
201,"M,18,4"
202,"F,18,4"
203,"M,25,7"
204,"M,35,12"
205,"M,25,17"
206,"M,25,12"
207,"M,35,17"
208,"M,35,1"
209,"F,1,10"
210,"M,45,17"
211,"M,25,16"
212,"F,18,4"
213,"M,18,20"
214,"M,35,14"
215,"M,45,13"
216,"M,18,4"
217,"M,35,14"
218,"F,25,4"
219,"M,25,12"
220,"F,25,0"
221,"M,25,1"
222,"M,25,17"
223,"F,18,4"
224,"M,25,7"
225,"M,35,1"
226,"M,35,20"
227,"M,25,15"
228,"M,18,10"
229,"M,45,1"
230,"M,25,3"
231,"M,25,20"
232,"F,45,20"
233,"M,35,7"
234,"M,25,0"
235,"M,25,5"
236,"M,25,6"
237,"F,50,7"
238,"M,18,19"
239,"M,50,17"
240,"M,35,20"
241,"F,18,4"
242,"M,25,16"
243,"M,50,7"
244,"M,35,16"
245,"F,18,4"
246,"M,25,17"
247,"M,18,17"
248,"F,18,14"
249,"M,35,16"
250,"M,56,17"
251,"M,25,12"
252,"F,25,11"
253,"M,35,17"
254,"M,35,0"
255,"M,45,16"
256,"M,18,18"
257,"M,25,7"
258,"M,25,1"
259,"M,18,19"
260,"M,25,20"
261,"F,25,1"
262,"F,25,7"
263,"M,35,0"
264,"F,35,7"
265,"M,35,11"
266,"M,45,12"
267,"F,18,12"
268,"M,25,2"
269,"M,50,14"
270,"M,18,4"
271,"M,18,0"
272,"M,18,4"
273,"M,18,4"
274,"M,25,0"
275,"M,45,16"
276,"F,35,1"
277,"M,45,18"
278,"M,25,14"
279,"M,50,7"
280,"F,35,0"
281,"M,25,17"
282,"M,25,0"
283,"M,25,12"
284,"F,35,0"
285,"M,25,1"
286,"M,50,13"
287,"F,25,12"
288,"F,25,0"
289,"F,25,20"
290,"M,35,12"
291,"M,35,7"
292,"M,56,1"
293,"F,45,9"
294,"M,18,0"
295,"M,50,5"
296,"M,18,2"
297,"F,18,4"
298,"M,25,12"
299,"M,25,7"
300,"M,18,4"
301,"M,18,4"
302,"M,25,7"
303,"M,25,0"
304,"F,18,0"
305,"M,18,0"
306,"M,50,16"
307,"M,25,2"
308,"M,25,4"
309,"F,18,4"
310,"M,18,4"
311,"F,50,2"
312,"F,18,4"
313,"F,56,9"
314,"F,56,1"
315,"M,56,13"
316,"M,35,7"
317,"F,56,13"
318,"F,50,6"
319,"M,35,6"
320,"M,18,4"
321,"M,56,17"
322,"M,45,12"
323,"M,35,17"
324,"F,50,3"
325,"M,50,11"
326,"M,35,18"
327,"M,35,12"
328,"M,35,7"
329,"M,56,7"
330,"M,25,7"
331,"M,50,1"
332,"M,35,2"
333,"F,56,2"
334,"M,35,18"
335,"M,18,0"
336,"M,18,19"
337,"M,35,7"
338,"M,50,7"
339,"F,25,3"
340,"F,56,13"
341,"M,18,12"
342,"F,35,3"
343,"M,35,14"
344,"M,25,12"
345,"F,25,0"
346,"F,56,1"
347,"M,50,7"
348,"M,1,10"
349,"M,45,20"
350,"M,18,4"
351,"M,18,4"
352,"F,35,7"
353,"M,35,1"
354,"M,18,3"
355,"M,56,20"
356,"M,18,0"
357,"F,56,1"
358,"M,25,17"
359,"M,35,17"
360,"F,25,14"
361,"M,35,20"
362,"M,18,10"
363,"F,35,1"
364,"F,18,4"
365,"M,50,15"
366,"M,50,12"
367,"M,25,0"
368,"M,35,1"
369,"M,18,17"
370,"M,18,4"
371,"F,18,4"
372,"F,25,2"
373,"F,35,14"
374,"M,25,2"
375,"M,35,1"
376,"M,25,17"
377,"F,18,0"
378,"F,35,1"
379,"M,25,2"
380,"M,35,17"
381,"F,35,20"
382,"F,25,7"
383,"M,25,11"
384,"M,25,6"
385,"M,25,0"
386,"F,35,7"
387,"F,25,0"
388,"M,25,6"
389,"M,25,4"
390,"M,45,11"
391,"M,18,7"
392,"M,35,17"
393,"M,18,0"
394,"M,18,5"
395,"M,25,1"
396,"M,35,17"
397,"M,25,17"
398,"F,35,6"
399,"F,18,3"
400,"M,18,0"
401,"M,25,11"
402,"M,18,4"
403,"M,18,4"
404,"M,56,1"
405,"M,25,20"
406,"M,18,17"
